ZE,ENDEREÇO,BAIRRO,CIDADE,Address,Latitude,Longitude
107,"AVENIDA CARDOSO MOREIRA, 485",CENTRO,ITAPERUNA,"AVENIDA CARDOSO MOREIRA, 485	CENTRO	ITAPERUNA",-21.206156,-41.889691
108,"RUA MANOEL PORTUGAL, 156 - EDIFÍCIO DO FORUM - SALA 04",CENTRO,RIO CLARO,"RUA MANOEL PORTUGAL, 156 - EDIFÍCIO DO FORUM - SALA 04	CENTRO	RIO CLARO",-22.726206,-44.13765
109,RUA VISCONDE DE QUISSAMA 174,CENTRO,MACAÉ,RUA VISCONDE DE QUISSAMA 174	CENTRO	MACAÉ,-22.369858,-41.780448
110,RUA DOUTOR DOMINGOS BELLIZZE 183,CENTRO,MAGÉ,RUA DOUTOR DOMINGOS BELLIZZE 183	CENTRO	MAGÉ,-22.657607,-43.038168
111,"RUA ARAUJO LEITE , 166 - EDIFICIO DO FORUM - SALA 01 - TERREO",CENTRO,VALENÇA,"RUA ARAUJO LEITE , 166 - EDIFICIO DO FORUM - SALA 01 - TERREO	CENTRO	VALENÇA",FAILED,FAILED
112,"AV. DEPUTADO LUIZ FERNANDO LINHARES, 1020, 3 PAVIMENTO - FÓRUM",CENTRO,MIRACEMA,"AV. DEPUTADO LUIZ FERNANDO LINHARES, 1020, 3 PAVIMENTO - FÓRUM	CENTRO	MIRACEMA",FAILED,FAILED
116,AV. ALMIRANTE JULIO CESAR DE NORONHA 58,SAO BENTO,ANGRA DOS REIS,AV. ALMIRANTE JULIO CESAR DE NORONHA 58	SAO BENTO	ANGRA DOS REIS,-23.01048,-44.322074
118,"AV. DOM HELDER CAMARA, 10.121",CASCADURA,RIO DE JANEIRO,"AV. DOM HELDER CAMARA, 10.121	CASCADURA	RIO DE JANEIRO",-22.882301,-43.324794
119,AV. AYRTON SENNA 2001 BLOCO C,BARRA DA TIJUCA,RIO DE JANEIRO,AV. AYRTON SENNA 2001 BLOCO C	BARRA DA TIJUCA	RIO DE JANEIRO,-22.992461,-43.366854
120,RUA TAQUAREMBÓ S/N- 2 ANDAR (REGIONAL DE CAMPO GRANDE),CAMPO GRANDE,RIO DE JANEIRO,RUA TAQUAREMBÓ S/N- 2 ANDAR (REGIONAL DE CAMPO GRANDE)	CAMPO GRANDE	RIO DE JANEIRO,-22.9035671,-43.573665
122,"ESTRADA RIO-SÃO PAULO, 176, CAMPO GRANDE",CAMPO GRANDE,RIO DE JANEIRO,"ESTRADA RIO-SÃO PAULO, 176, CAMPO GRANDE	CAMPO GRANDE	RIO DE JANEIRO",-22.894623,-43.559512
123,RUA FERNÃO DIAS S/N,DEODORO,RIO DE JANEIRO,RUA FERNÃO DIAS S/N	DEODORO	RIO DE JANEIRO,-22.855849,-43.386529
125,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA,SANTA CRUZ,RIO DE JANEIRO,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA	SANTA CRUZ	RIO DE JANEIRO,-22.918469,-43.685606
126,"AVENIDA BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AVENIDA BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
127,"AV. BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AV. BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
128,"AV. BRIGADEIRO LIMA E SILVA, 282, 25 DE AGOSTO, DUQUE DE CAXIAS/RJ",25 DE AGOSTO,DUQUE DE CAXIAS,"AV. BRIGADEIRO LIMA E SILVA, 282, 25 DE AGOSTO, DUQUE DE CAXIAS/RJ	25 DE AGOSTO	DUQUE DE CAXIAS",-22.79925,-43.293149
129,"AV. DR. ALBERTO TORRES, 81",CENTRO,CAMPOS DOS GOYTACAZES,"AV. DR. ALBERTO TORRES, 81	CENTRO	CAMPOS DOS GOYTACAZES",-21.754743,-41.326182
130,"ROD. AFONSO CELSO, S/N - PRACA DOS TRES PODERES - FORUM",CENTRO,SÃO FRANCISCO DE ITABAPOANA,"ROD. AFONSO CELSO, S/N - PRACA DOS TRES PODERES - FORUM	CENTRO	SÃO FRANCISCO DE ITABAPOANA",FAILED,FAILED
